"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-09-20 ~ 2024-09-19"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"31","인천광역시 부평구 부개동","308-5","0308","0005","현대","59.3100","202409","06","24,400","-","15","개인","개인","1993","경인로1083번길 32","-","중개거래","인천 부평구","-"
"32","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","49.9600","202409","06","20,800","-","1","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"33","인천광역시 부평구 갈산동","171","0171","0000","부평지웰에스테이트","74.9700","202409","05","45,500","-","4","개인","개인","2021","주부토로249번길 17","-","중개거래","인천 부평구","-"
"34","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","50.1550","202409","05","23,000","-","7","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"35","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","84.9500","202409","05","40,000","-","6","개인","개인","1999","원적로 361","-","중개거래","인천 부평구","-"
"36","인천광역시 부평구 삼산동","359","0359","0000","광명12차","47.2600","202409","05","13,500","-","5","개인","개인","1990","후정동로 63","-","직거래","-","-"
"37","인천광역시 부평구 부평동","756-421","0756","0421","신성미소지움아파트(101~106동)","59.8040","202409","04","28,000","-","14","개인","개인","2005","경인로 858","20240913","중개거래","인천 부평구","-"
"38","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","84.9980","202409","04","39,400","-","11","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"39","인천광역시 부평구 산곡동","137-3","0137","0003","한신(137-3)","41.3000","202409","04","16,000","-","8","개인","개인","1985","원적로416번길 20","-","중개거래","인천 부평구","-"
"40","인천광역시 부평구 십정동","617","0617","0000","브라운스톤백운","84.9324","202409","04","41,000","-","7","개인","개인","2014","마장로 43-20","-","중개거래","인천 부평구","-"
"41","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202409","04","47,500","-","6","개인","개인","1997","부개로 12","-","중개거래","경기 부천시 원미구, 인천 부평구","-"
"42","인천광역시 부평구 산곡동","518","0518","0000","부평샬레아넬리스","59.8669","202409","03","32,200","-","5","개인","개인","2019","원적로 238","-","중개거래","인천 부평구","-"
"43","인천광역시 부평구 삼산동","191","0191","0000","대보","56.3400","202409","03","19,000","-","1","개인","개인","1985","후정동로 5","-","중개거래","인천 부평구","-"
"44","인천광역시 부평구 삼산동","170-1","0170","0001","삼산벽산블루밍","84.3175","202409","03","44,400","-","15","개인","개인","2005","후정동로 12","-","중개거래","인천 부평구","-"
"45","인천광역시 부평구 산곡동","91-2","0091","0002","부평IPARK","69.2800","202409","03","59,000","-","40","개인","개인","2020","길주로364번길 9","-","중개거래","인천 부평구","-"
"46","인천광역시 부평구 부개동","148-16","0148","0016","주영팰리스Ⅱ","49.8800","202409","03","18,000","-","10","개인","개인","2015","동수천로 39","-","중개거래","인천 부평구","24.09.06"
"47","인천광역시 부평구 부개동","499-2","0499","0002","푸른마을한신,삼부","99.8600","202409","03","61,000","-","6","개인","개인","1999","부개로 58","-","중개거래","인천 부평구","-"
"48","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","59.9600","202409","03","49,500","-","11","개인","개인","2022","원적로287번길 25","-","중개거래","인천 부평구","-"
"49","인천광역시 부평구 부평동","415-8","0415","0008","인스테이션","23.7800","202409","03","8,250","-","15","개인","개인","2012","주부토로 48","-","중개거래","인천 부평구","24.09.09"
"50","인천광역시 부평구 부평동","70-78","0070","0078","창보","59.9000","202409","03","24,500","-","12","개인","개인","1999","부영로166번길 16","-","중개거래","인천 부평구","-"
"51","인천광역시 부평구 부개동","500-1","0500","0001","주공5","59.9900","202409","02","33,000","-","17","개인","개인","1998","부개로 11","-","중개거래","인천 부평구","-"
"52","인천광역시 부평구 삼산동","56-3","0056","0003","삼보","55.1200","202409","02","17,200","-","11","개인","개인","1990","후정동로47번길 4","-","중개거래","인천 부평구","-"
"53","인천광역시 부평구 청천동","453","0453","0000","청천우민늘푸른아파트","59.6518","202409","02","31,000","-","17","개인","개인","2020","평천로141번길 11","-","중개거래","인천 부평구","-"
"54","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","39.9900","202409","02","18,300","-","5","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"55","인천광역시 부평구 부평동","534-96","0534","0096","두산위브","59.7600","202409","02","36,200","-","9","개인","개인","2005","경원대로1344번길 8","-","중개거래","인천 부평구","-"
"56","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","52.4300","202409","02","34,800","-","15","개인","개인","1986","부평문화로 37","-","중개거래","인천 계양구, 인천 부평구","-"
"57","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9700","202409","02","26,500","-","15","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"58","인천광역시 부평구 부평동","377-37","0377","0037","카리스뷰(2차)","40.0400","202409","01","17,200","-","9","개인","개인","2015","장제로 163","-","중개거래","인천 부평구","-"
"59","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","69.2824","202409","01","53,800","-","9","개인","법인","2022","열우물로 90","-","중개거래","인천 부평구","-"
"60","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","76.7400","202408","31","42,800","-","1","개인","개인","1989","부평문화로 37","-","중개거래","인천 부평구","-"
"61","인천광역시 부평구 부평동","738-45","0738","0045","에코파인","59.3700","202408","31","33,000","-","20","개인","개인","2018","광장로24번길 34","-","중개거래","인천 부평구","-"
"62","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202408","31","36,200","-","9","개인","개인","1996","부흥로 246","-","중개거래","인천 부평구","-"
"63","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202408","31","35,000","-","4","개인","개인","1996","부흥로 246","-","중개거래","인천 부평구","-"
"64","인천광역시 부평구 삼산동","454-4","0454","0004","서해그랑블5단지","130.0383","202408","31","90,000","-","6","개인","개인","2004","굴포로 158","-","중개거래","인천 부평구","-"
"65","인천광역시 부평구 산곡동","180-78","0180","0078","부평신일해피트리더루츠","84.9860","202408","31","61,900","-","16","개인","개인","2022","산곡로 31","20240904","중개거래","인천 부평구","-"
"66","인천광역시 부평구 산곡동","180-78","0180","0078","부평신일해피트리더루츠","84.9860","202408","31","61,900","-","16","개인","개인","2022","산곡로 31","-","중개거래","인천 부평구, 인천 서구","-"
"67","인천광역시 부평구 십정동","406-3","0406","0003","동암비버리씨티","12.0885","202408","31","4,700","-","10","개인","개인","2014","열우물로25번길 14-3","-","중개거래","인천 남동구","-"
"68","인천광역시 부평구 삼산동","390-6","0390","0006","삼산주공미래타운3차","59.3900","202408","31","26,900","-","2","개인","개인","2000","부평북로 463","-","중개거래","인천 부평구","-"
