"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-09-20 ~ 2024-09-19"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"754","인천광역시 부평구 산곡동","137-8","0137","0008","한신(137-8)","41.2900","202407","14","14,900","104","7","개인","개인","1986","원적로416번길 38","-","중개거래","인천 부평구","24.08.12"
"755","인천광역시 부평구 부개동","512","0512","0000","부개역푸르지오","84.9840","202407","14","61,000","-","10","개인","개인","2010","부일로 69","-","중개거래","인천 부평구","-"
"756","인천광역시 부평구 부개동","512","0512","0000","부개역푸르지오","59.9730","202407","14","53,000","104","6","개인","개인","2010","부일로 69","-","중개거래","인천 부평구","24.08.30"
"757","인천광역시 부평구 부개동","442-3","0442","0003","한국","84.0200","202407","14","27,900","-","15","개인","개인","1992","동수로120번길 11","-","중개거래","인천 부평구","-"
"758","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","52.4300","202407","14","35,000","11","2","개인","개인","1986","부평문화로 37","-","중개거래","인천 부평구, 인천 연수구","24.08.30"
"759","인천광역시 부평구 삼산동","553","0553","0000","브라운스톤부평","72.9841","202407","14","59,000","102","23","개인","개인","2023","후정로 8","-","중개거래","인천 부평구","24.08.02"
"760","인천광역시 부평구 부평동","947","0947","0000","래미안부평","84.9630","202407","14","65,000","-","12","개인","개인","2014","길주남로10번길 21","-","중개거래","서울 송파구, 인천 부평구","-"
"761","인천광역시 부평구 갈산동","374","0374","0000","아주","84.7500","202407","13","37,500","2","14","개인","개인","1992","갈월서로 26","-","중개거래","인천 부평구","24.08.30"
"762","인천광역시 부평구 산곡동","507","0507","0000","금호이수마운트밸리","115.0311","202407","13","63,800","112","16","개인","개인","2007","원적로 344","-","중개거래","인천 부평구","24.09.11"
"763","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9300","202407","13","27,000","-","10","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"764","인천광역시 부평구 부개동","494","0494","0000","성일","50.8800","202407","13","23,000","303","2","개인","개인","1990","수변로52번길 6","-","중개거래","인천 부평구","24.08.06"
"765","인천광역시 부평구 부개동","502-8","0502","0008","부개주공7단지","59.9900","202407","13","30,400","-","10","개인","개인","1998","동수천로 118","-","중개거래","인천 부평구","-"
"766","인천광역시 부평구 삼산동","389-8","0389","0008","삼산주공미래타운4차","59.3900","202407","13","26,500","-","20","개인","개인","2000","영성중로 57","-","중개거래","인천 부평구","-"
"767","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","84.8900","202407","13","62,500","-","19","개인","개인","2022","원적로287번길 25","-","중개거래","인천 부평구","-"
"768","인천광역시 부평구 산곡동","274","0274","0000","경남2차","84.4300","202407","13","31,000","-","8","개인","개인","1991","안남로222번길 30","-","중개거래","인천 부평구","-"
"769","인천광역시 부평구 갈산동","179-1","0179","0001","한국","59.8800","202407","13","27,500","102","14","개인","개인","1998","부평대로278번길 42","-","중개거래","서울 영등포구, 인천 부평구","24.09.10"
"770","인천광역시 부평구 산곡동","120-8","0120","0008","대운","53.1100","202407","13","19,000","나","4","개인","개인","1985","마장로324번길 27-8","-","중개거래","서울 중구, 인천 부평구","24.08.02"
"771","인천광역시 부평구 십정동","182-95","0182","0095","대주파크빌","84.5030","202407","13","32,500","102","16","개인","개인","2001","마장로 49","-","중개거래","인천 부평구","24.08.22"
"772","인천광역시 부평구 십정동","182-95","0182","0095","대주파크빌","84.5030","202407","13","35,500","-","16","개인","개인","2001","마장로 49","-","중개거래","인천 부평구","-"
"773","인천광역시 부평구 십정동","406-3","0406","0003","동암비버리씨티","12.3454","202407","13","4,500","-","7","개인","개인","2014","열우물로25번길 14-3","-","중개거래","인천 부평구","24.09.03"
"774","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202407","13","44,500","-","13","개인","개인","2005","굴포로 105","-","중개거래","인천 부평구","-"
"775","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202407","13","40,200","113","5","개인","개인","2005","굴포로 105","-","중개거래","인천 부평구","24.08.12"
"776","인천광역시 부평구 삼산동","513","0513","0000","서해그랑블","84.9800","202407","13","50,800","-","12","개인","개인","2011","영성동로18번길 20","-","중개거래","경기 부천시원미구","-"
"777","인천광역시 부평구 청천동","176","0176","0000","청천푸르지오","133.7100","202407","13","50,000","제107","10","개인","개인","1998","세월천로 16","-","중개거래","인천 부평구","24.08.16"
"778","인천광역시 부평구 산곡동","145","0145","0000","경남3차","123.9300","202407","13","45,500","-","14","개인","개인","1992","마장로272번길 76","-","중개거래","인천 부평구","-"
"779","인천광역시 부평구 청천동","259","0259","0000","쌍용","84.8700","202407","13","33,650","-","14","개인","개인","1990","길주로494번길 12","-","중개거래","인천 부평구","-"
"780","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","52.4300","202407","13","38,800","6","12","개인","개인","1987","부평문화로 37","-","중개거래","인천 부평구","24.08.30"
"781","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","59.8430","202407","13","52,000","-","27","개인","개인","2020","동수천로 117","-","중개거래","인천 부평구","-"
"782","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","59.8530","202407","13","53,200","-","26","개인","개인","2020","동수천로 117","-","중개거래","인천 부평구","-"
"783","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","34.2970","202407","13","28,200","107","19","개인","개인","2020","동수천로 117","-","중개거래","인천 부평구","24.09.05"
"784","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202407","13","35,100","-","18","개인","개인","1996","부흥로 246","-","중개거래","인천 부평구","-"
"785","인천광역시 부평구 부평동","65-7","0065","0007","욱일","84.1600","202407","13","28,000","-","10","개인","개인","1991","부흥로243번길 39","-","중개거래","인천 부평구","-"
"786","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","49.9600","202407","12","24,000","307","11","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","24.08.22"
"787","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","59.9300","202407","12","50,500","101동","9","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.08.19"
"788","인천광역시 부평구 삼산동","40-1","0040","0001","현대","59.9300","202407","12","18,900","102","1","개인","개인","1995","부평북로 407","-","중개거래","인천 부평구","24.09.11"
"789","인천광역시 부평구 삼산동","389-8","0389","0008","삼산주공미래타운4차","59.3900","202407","12","28,800","-","18","개인","개인","2000","영성중로 57","-","중개거래","인천 부평구","-"
"790","인천광역시 부평구 삼산동","390-6","0390","0006","삼산주공미래타운3차","59.3900","202407","12","27,000","-","12","개인","개인","2000","부평북로 463","-","중개거래","인천 부평구","-"
"791","인천광역시 부평구 삼산동","387-2","0387","0002","삼산주공미래타운1차","59.3900","202407","12","26,900","-","15","개인","개인","2000","부평북로 431","-","중개거래","인천 부평구","-"
"792","인천광역시 부평구 삼산동","359","0359","0000","광명12차","47.2600","202407","12","12,900","5","3","개인","개인","1990","후정동로 63","-","직거래","-","24.07.23"
"793","인천광역시 부평구 삼산동","359","0359","0000","광명12차","47.2600","202407","12","13,900","-","1","개인","개인","1990","후정동로 63","-","중개거래","인천 부평구","-"
"794","인천광역시 부평구 삼산동","388-7","0388","0007","삼산주공미래타운2차","49.4000","202407","12","22,900","-","18","개인","개인","2000","부평북로 432","-","중개거래","인천 부평구","-"
"795","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","51.8600","202407","12","35,800","-","17","개인","개인","2005","굴포로 105","-","중개거래","인천 부평구","-"
"796","인천광역시 부평구 십정동","607","0607","0000","동암신동아","130.8000","202407","12","48,500","108","14","개인","개인","2000","아트센터로 118","-","중개거래","인천 부평구","24.09.10"
"797","인천광역시 부평구 산곡동","222","0222","0000","한신휴","84.9790","202407","12","39,000","105","22","개인","개인","2003","마장로220번길 13","-","중개거래","인천 부평구","24.08.27"
"798","인천광역시 부평구 산곡동","82-116","0082","0116","동원(82-116)","43.4700","202407","12","13,000","-","1","개인","개인","1990","원적로287번길 35","-","중개거래","인천 부평구","-"
"799","인천광역시 부평구 산곡동","30-10","0030","0010","삼도","49.3800","202407","12","40,310","-","3","개인","개인","1988","산청로 31","-","중개거래","인천 부평구","-"
"800","인천광역시 부평구 산곡동","180-116","0180","0116","삼보","57.4200","202407","12","18,200","다","3","개인","개인","1985","원적로 288","-","중개거래","인천 부평구","24.09.03"
"801","인천광역시 부평구 산곡동","124-1","0124","0001","현대(124-1)","84.9900","202407","12","31,200","제502동","9","개인","개인","1993","안남로 260","-","직거래","-","24.08.16"
"802","인천광역시 부평구 부평동","501-1","0501","0001","더갤러리","54.2500","202407","12","15,200","-","2","개인","법인","2016","장제로52번길 26","-","중개거래","인천 부평구","24.08.23"
"803","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","59.9300","202407","12","50,500","104동","25","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.08.19"
"804","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","84.8184","202407","12","63,500","103동","20","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.08.21"
"805","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","59.9300","202407","12","50,800","105동","22","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.08.19"
"806","인천광역시 부평구 부개동","308-5","0308","0005","현대","84.9800","202407","12","32,000","-","1","개인","개인","1993","경인로1083번길 32","-","중개거래","인천 부평구","-"
"807","인천광역시 부평구 부개동","500-1","0500","0001","주공5","59.9900","202407","12","31,000","-","14","개인","개인","1998","부개로 11","-","중개거래","인천 부평구","-"
"808","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202407","12","48,200","-","17","개인","개인","1997","부개로 12","-","중개거래","인천 부평구","-"
"809","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","72.9227","202407","12","61,000","105","4","공공기관","개인","2020","동수천로 117","-","중개거래","인천 부평구","24.09.05"
"810","인천광역시 부평구 부개동","512","0512","0000","부개역푸르지오","84.9840","202407","11","56,800","-","22","개인","개인","2010","부일로 69","-","중개거래","인천 부평구","-"
"811","인천광역시 부평구 산곡동","518","0518","0000","부평샬레아넬리스","84.9819","202407","11","39,900","101","11","개인","개인","2019","원적로 238","-","중개거래","인천 부평구, 인천 서구","24.08.26"
"812","인천광역시 부평구 청천동","176","0176","0000","청천푸르지오","84.3400","202407","11","38,000","제112","16","개인","개인","1998","세월천로 16","-","중개거래","인천 부평구","24.08.13"
"813","인천광역시 부평구 삼산동","390-6","0390","0006","삼산주공미래타운3차","59.3900","202407","11","25,400","312","3","개인","개인","2000","부평북로 463","-","중개거래","서울 영등포구, 인천 부평구","24.09.09"
"814","인천광역시 부평구 삼산동","454-4","0454","0004","서해그랑블5단지","118.1342","202407","11","80,000","-","3","개인","개인","2004","굴포로 158","-","중개거래","인천 부평구","-"
"815","인천광역시 부평구 산곡동","82-36","0082","0036","동원(82-36)","46.8000","202407","11","12,500","-","8","개인","개인","1989","길주로326번길 45","-","중개거래","인천 부평구","-"
"816","인천광역시 부평구 산곡동","274","0274","0000","경남2차","84.4300","202407","11","30,500","-","14","개인","개인","1991","안남로222번길 30","-","중개거래","인천 부평구","-"
"817","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","122.6500","202407","11","76,500","-","6","개인","개인","1988","부평문화로 37","-","중개거래","인천 부평구","-"
"818","인천광역시 부평구 산곡동","180-78","0180","0078","부평신일해피트리더루츠","59.8990","202407","11","45,000","-","11","개인","개인","2022","산곡로 31","-","중개거래","인천 부평구","-"
"819","인천광역시 부평구 갈산동","368","0368","0000","두산","101.8200","202407","11","49,200","106","6","개인","개인","1992","갈월동로 45","-","중개거래","인천 부평구","24.09.10"
"820","인천광역시 부평구 갈산동","179-1","0179","0001","한국","59.8800","202407","11","27,500","103","5","개인","개인","1998","부평대로278번길 42","-","중개거래","인천 부평구","24.08.27"
"821","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","39.9900","202407","11","18,000","314","3","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","24.08.16"
"822","인천광역시 부평구 부개동","525","0525","0000","부개역코오롱하늘채","74.4387","202407","11","56,200","-","5","개인","개인","2021","부평문화로 216","-","중개거래","인천 부평구","-"
"823","인천광역시 부평구 삼산동","393-4","0393","0004","삼산주공미래타운5차","84.3400","202407","10","49,000","-","13","개인","개인","2000","영성중로 16","20240826","중개거래","인천 부평구","-"
"824","인천광역시 부평구 삼산동","393-4","0393","0004","삼산주공미래타운5차","84.3400","202407","10","41,300","-","13","개인","개인","2000","영성중로 16","20240910","중개거래","인천 부평구","-"
"825","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202407","10","44,500","-","18","개인","개인","2005","굴포로 105","-","중개거래","인천 부평구","-"
"826","인천광역시 부평구 삼산동","453-1","0453","0001","삼산타운7단지","84.0700","202407","10","64,500","-","15","개인","개인","2004","체육관로 27","-","중개거래","경기 부천시원미구, 인천 부평구","-"
"827","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","84.9977","202407","10","70,000","104","17","공공기관","개인","2020","동수천로 117","-","중개거래","인천 부평구","24.09.06"
"828","인천광역시 부평구 부평동","119-7","0119","0007","로뎀레뷰","49.9000","202407","10","16,500","-","10","개인","개인","2012","부흥북로 92","-","중개거래","인천 부평구","24.07.15"
"829","인천광역시 부평구 삼산동","359","0359","0000","광명12차","47.2600","202407","10","13,300","5","2","개인","개인","1990","후정동로 63","-","중개거래","인천 부평구","24.08.27"
"830","인천광역시 부평구 삼산동","393-4","0393","0004","삼산주공미래타운5차","84.3400","202407","10","41,300","-","13","개인","개인","2000","영성중로 16","-","중개거래","인천 부평구","-"
"831","인천광역시 부평구 부평동","135-8","0135","0008","청담아이리스","44.5000","202407","10","19,600","-","9","개인","개인","2015","부평문화로115번길 16","-","중개거래","인천 부평구","24.08.26"
"832","인천광역시 부평구 산곡동","255-1","0255","0001","뉴서울아파트","84.8400","202407","10","23,000","6","12","개인","개인","1991","마장로264번길 36","-","중개거래","인천 부평구","24.09.09"
"833","인천광역시 부평구 삼산동","445-5","0445","0005","삼산타운2단지","84.9800","202407","10","50,000","-","2","개인","개인","2005","수변로 333","-","중개거래","인천 부평구","-"
"834","인천광역시 부평구 부개동","496-2","0496","0002","부개주공1","59.9700","202407","10","33,700","107","7","개인","개인","1996","길주남로 143","-","중개거래","인천 부평구","24.09.05"
"835","인천광역시 부평구 부개동","496-2","0496","0002","부개주공1","49.9600","202407","10","26,000","105","1","개인","개인","1996","길주남로 143","-","중개거래","인천 부평구","24.08.30"
"836","인천광역시 부평구 부개동","496-2","0496","0002","부개주공1","59.9300","202407","10","33,400","-","18","개인","개인","1996","길주남로 143","-","중개거래","인천 부평구","-"
"837","인천광역시 부평구 부개동","525","0525","0000","부개역코오롱하늘채","84.9459","202407","10","70,300","104","18","공공기관","개인","2021","부평문화로 216","-","중개거래","인천 부평구","24.08.21"
"838","인천광역시 부평구 부개동","525","0525","0000","부개역코오롱하늘채","74.4387","202407","10","61,500","103","11","공공기관","개인","2021","부평문화로 216","-","중개거래","인천 부평구","24.08.21"
"839","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","59.8050","202407","10","35,700","204","17","개인","개인","1998","안남로 272","-","중개거래","인천 부평구","24.09.11"
"840","인천광역시 부평구 청천동","259","0259","0000","쌍용","56.2500","202407","10","22,500","-","1","개인","개인","1990","길주로494번길 12","-","중개거래","인천 부평구","-"
"841","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","72.9227","202407","10","63,000","103","22","공공기관","개인","2020","동수천로 117","-","중개거래","인천 부평구","24.09.09"
"842","인천광역시 부평구 산곡동","145","0145","0000","경남3차","84.8700","202407","09","32,000","311","12","개인","개인","1992","마장로272번길 76","-","중개거래","인천 부평구","24.09.09"
"843","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","59.8032","202407","09","47,500","119","28","개인","개인","2022","열우물로 90","-","중개거래","인천 부평구","24.09.06"
"844","인천광역시 부평구 산곡동","306-3","0306","0003","우성4차","84.9700","202407","09","30,800","-","12","개인","개인","1991","안남로123번길 46","-","중개거래","인천 부평구","-"
"845","인천광역시 부평구 삼산동","389-8","0389","0008","삼산주공미래타운4차","59.3900","202407","09","28,900","-","18","개인","개인","2000","영성중로 57","-","중개거래","인천 부평구","-"
"846","인천광역시 부평구 산곡동","307","0307","0000","현대1차","72.4800","202407","09","32,500","113","5","개인","개인","1985","경원대로 1269","-","중개거래","인천 부평구","24.08.20"
"847","인천광역시 부평구 갈산동","362","0362","0000","하나","84.7500","202407","09","34,300","제105동","7","개인","개인","1992","갈월서로 45","-","중개거래","인천 부평구","24.09.10"
"848","인천광역시 부평구 청천동","176","0176","0000","청천푸르지오","59.3600","202407","09","25,000","제121","22","개인","개인","1998","세월천로 16","-","중개거래","인천 부평구","24.08.06"
"849","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","59.8800","202407","09","31,900","-","11","개인","개인","1999","원적로 361","-","중개거래","인천 부평구","-"
"850","인천광역시 부평구 부개동","531","0531","0000","e편한세상부평역어반루체","59.9930","202407","09","46,000","-","19","개인","개인","2022","경인로1024번길 21","-","중개거래","인천 부평구","-"
"851","인천광역시 부평구 부개동","502-8","0502","0008","부개주공7단지","59.9900","202407","09","31,900","710","24","개인","개인","1998","동수천로 118","-","중개거래","경기 부천시 원미구, 인천 부평구","24.09.10"
"852","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202407","09","49,650","601","18","개인","개인","1997","부개로 12","-","중개거래","인천 부평구","24.08.30"
"853","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202407","09","49,650","-","18","개인","개인","1997","부개로 12","20240709","중개거래","인천 부평구","-"
"854","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202407","09","49,650","-","18","개인","개인","1997","부개로 12","20240709","중개거래","인천 부평구","-"
"855","인천광역시 부평구 산곡동","124-1","0124","0001","현대(124-1)","59.4000","202407","08","23,000","제506동","16","개인","개인","1993","안남로 260","-","중개거래","인천 부평구","24.08.30"
"856","인천광역시 부평구 삼산동","448-1","0448","0001","신성미소지움3단지","101.4800","202407","08","65,000","-","18","개인","개인","2005","수변로 334","-","중개거래","인천 부평구","-"
"857","인천광역시 부평구 삼산동","445-5","0445","0005","삼산타운2단지","84.9800","202407","08","53,000","-","15","개인","개인","2005","수변로 333","-","중개거래","인천 계양구, 인천 부평구","-"
"858","인천광역시 부평구 삼산동","445-5","0445","0005","삼산타운2단지","84.9800","202407","08","53,600","-","9","개인","개인","2005","수변로 333","-","중개거래","인천 부평구","-"
"859","인천광역시 부평구 부평동","947","0947","0000","래미안부평","84.9680","202407","08","61,000","115","13","개인","개인","2014","길주남로10번길 21","-","중개거래","인천 부평구","24.09.06"
"860","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","59.9300","202407","08","47,000","101동","3","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.07.18"
"861","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","75.8795","202407","08","53,600","102동","7","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.07.31"
"862","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","75.8025","202407","08","54,700","105동","24","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.07.31"
"863","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","59.9300","202407","08","50,400","104동","16","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.08.12"
"864","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","59.9300","202407","08","49,800","105동","14","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.08.14"
"865","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","59.9300","202407","08","50,200","101동","22","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.07.18"
"866","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","59.9300","202407","08","49,500","105동","26","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.07.18"
"867","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","84.8184","202407","08","62,000","103동","7","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.07.18"
"868","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","84.8184","202407","08","61,500","105동","29","공공기관","개인","2020","동수로 80","-","중개거래","인천 부평구","24.07.18"
"869","인천광역시 부평구 부평동","534-96","0534","0096","두산위브","84.8400","202407","08","45,500","-","3","개인","개인","2005","경원대로1344번길 8","-","중개거래","인천 부평구","-"
"870","인천광역시 부평구 청천동","300-1","0300","0001","현광","53.3100","202407","08","15,300","-","1","개인","개인","1994","부평대로167번길 41","-","중개거래","인천 부평구","24.08.13"
"871","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","59.8050","202407","08","33,700","-","9","개인","개인","1998","안남로 272","-","중개거래","인천 부평구","-"
"872","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","84.8500","202407","08","44,000","-","9","개인","개인","1998","안남로 272","-","중개거래","인천 계양구, 인천 부평구","-"
"873","인천광역시 부평구 산곡동","510","0510","0000","부평산곡푸르지오","59.9950","202407","08","49,500","-","13","개인","개인","2011","안남로 269","-","중개거래","서울 동작구, 인천 부평구","-"
"874","인천광역시 부평구 산곡동","142-3","0142","0003","경남1차","84.4300","202407","08","32,850","-","12","개인","개인","1990","안남로222번길 27","-","중개거래","인천 부평구","-"
"875","인천광역시 부평구 산곡동","274","0274","0000","경남2차","84.4300","202407","08","32,900","-","9","개인","개인","1991","안남로222번길 30","-","중개거래","인천 부평구","-"
"876","인천광역시 부평구 산곡동","145","0145","0000","경남3차","123.9300","202407","08","40,000","-","7","개인","개인","1992","마장로272번길 76","-","중개거래","인천 부평구","-"
"877","인천광역시 부평구 부평동","982","0982","0000","중앙하이츠프리미어부평","59.8979","202407","07","40,800","105동","8","개인","개인","2023","안남로15번길 24","-","중개거래","인천 부평구","24.08.22"
"878","인천광역시 부평구 부개동","502-8","0502","0008","부개주공7단지","59.9900","202407","07","30,500","710","16","개인","개인","1998","동수천로 118","-","중개거래","인천 부평구","24.07.22"
"879","인천광역시 부평구 십정동","617","0617","0000","브라운스톤백운","84.5349","202407","07","42,300","101","17","개인","개인","2014","마장로 43-20","-","중개거래","인천 부평구","24.09.05"
"880","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","84.9825","202407","07","69,500","-","3","개인","개인","2023","동수천로 71","-","중개거래","인천 부평구","-"
"881","인천광역시 부평구 부평동","518-1","0518","0001","스위트홈1동","44.8800","202407","07","18,200","-","11","개인","개인","2015","장제로 100","-","중개거래","경기 부천시소사구, 인천 부평구","-"
"882","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","101.5150","202407","06","49,500","-","5","개인","개인","1998","안남로 272","-","중개거래","인천 부평구","-"
"883","인천광역시 부평구 산곡동","294-35","0294","0035","우성1차2차(294-35)","54.5200","202407","06","21,250","-","4","개인","개인","1989","부영로 165","-","중개거래","인천 부평구","-"
"884","인천광역시 부평구 산곡동","274","0274","0000","경남2차","59.7200","202407","06","22,000","203","5","개인","개인","1991","안남로222번길 30","-","중개거래","인천 부평구","24.09.05"
"885","인천광역시 부평구 갈산동","363","0363","0000","태화(363)","125.5600","202407","06","43,300","6","12","개인","개인","1992","갈월서로 46","-","중개거래","인천 부평구","24.09.10"
"886","인천광역시 부평구 삼산동","553","0553","0000","브라운스톤부평","59.9900","202407","06","44,900","101","17","개인","개인","2023","후정로 8","-","중개거래","경기 부천시 원미구, 인천 부평구","24.07.16"
"887","인천광역시 부평구 십정동","617","0617","0000","브라운스톤백운","84.9324","202407","06","41,000","-","7","개인","개인","2014","마장로 43-20","20240801","중개거래","인천 부평구","-"
"888","인천광역시 부평구 십정동","608-4","0608","0004","십정뜨란채1단지","59.9300","202407","06","27,300","-","3","개인","개인","2005","이규보로 79","-","중개거래","인천 부평구","-"
"889","인천광역시 부평구 십정동","608-4","0608","0004","십정뜨란채1단지","59.9300","202407","06","27,000","-","6","개인","개인","2005","이규보로 79","-","중개거래","인천 부평구","-"
"890","인천광역시 부평구 부개동","525","0525","0000","부개역코오롱하늘채","31.9340","202407","06","26,000","-","12","개인","개인","2021","부평문화로 216","-","중개거래","인천 부평구","-"
"891","인천광역시 부평구 부개동","477-3","0477","0003","뉴서울","39.4800","202407","06","17,300","1","11","개인","개인","1989","충선로 191","-","중개거래","인천 부평구","24.09.10"
"892","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202407","06","47,000","-","5","개인","개인","1997","부개로 12","-","중개거래","인천 부평구","-"
"893","인천광역시 부평구 부개동","494","0494","0000","성일","58.9800","202407","06","23,500","-","4","개인","개인","1990","수변로52번길 6","-","중개거래","인천 부평구","-"
"894","인천광역시 부평구 부평동","982","0982","0000","중앙하이츠프리미어부평","84.7447","202407","06","47,000","103동","6","개인","개인","2023","안남로15번길 24","-","중개거래","인천 부평구","24.08.16"
"895","인천광역시 부평구 산곡동","294-35","0294","0035","우성3차(294-35)","84.9700","202407","06","31,000","111","1","개인","개인","1990","부영로 165","-","중개거래","인천 부평구","24.08.20"
"896","인천광역시 부평구 산곡동","306-3","0306","0003","우성4차","84.9700","202407","06","29,400","404","4","개인","개인","1991","안남로123번길 46","-","중개거래","인천 부평구","24.08.22"
"897","인천광역시 부평구 산곡동","307","0307","0000","현대1차","131.1600","202407","06","50,000","-","9","개인","개인","1986","경원대로 1269","-","중개거래","인천 부평구","-"
"898","인천광역시 부평구 청천동","176","0176","0000","청천푸르지오","84.3400","202407","06","39,000","-","5","개인","개인","1998","세월천로 16","-","중개거래","인천 부평구","-"
"899","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","59.8050","202407","06","35,000","-","19","개인","개인","1998","안남로 272","-","중개거래","인천 부평구","-"
"900","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","69.3321","202407","05","54,700","-","17","개인","개인","2022","열우물로 90","20240712","중개거래","인천 부평구","-"
"901","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","69.3321","202407","05","54,700","-","17","개인","개인","2022","열우물로 90","20240710","중개거래","인천 부평구","-"
"902","인천광역시 부평구 부개동","477-1","0477","0001","대동","43.2950","202407","05","27,500","4","2","개인","개인","1989","길주로 640","-","중개거래","인천 부평구","24.09.10"
"903","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9800","202407","05","26,500","312","3","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","24.07.30"
